2025/11/26 16:41:14 [2]: Started logging
2025/11/26 16:41:14 Frontend: gRPC server now listening on 5002... at logical time: 0 
2025/11/26 16:41:14 Backend: gRPC server now listening on 5012... at logical time: 0 
2025/11/26 16:41:14 [Node 2] Advertised on network (port 5012) as leader? false
2025/11/26 16:41:14 [Node 2] Advertised frontend on network (port 5002)
2025/11/26 16:41:14 [2]: Starting peer discovery...
2025/11/26 16:41:14 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:41:14 [Node 2] New leader found 1 (192.168.2.75:5011)
2025/11/26 16:41:19 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:41:24 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:41:29 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:41:34 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:41:39 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:41:44 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:41:49 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:41:54 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:41:59 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:42:04 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:42:09 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:42:14 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:42:24 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:42:24 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:42:34 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:42:34 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:42:39 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:42:48 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:42:49 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:42:54 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:42:59 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:43:08 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:43:09 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:43:19 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:43:24 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:43:24 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:43:34 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:43:39 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:43:42 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:43:50 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:43:54 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:43:54 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:43:59 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:44:09 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:44:14 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:44:14 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:44:19 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:44:29 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:44:34 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:44:34 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:44:44 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:44:47 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
